candidate_id,formula,elements,n_atoms,volume_per_atom_a3,role_in_E4,pss,screened_by_pss,spacegroup_generated,spacegroup_number_generated,site_fraction_generated,law7_generated,spacegroup_dft_relaxed,spacegroup_number_dft_relaxed,site_fraction_dft_relaxed,law7_dft_relaxed,proxy_bulk_modulus_gpa,dft_bulk_modulus_gpa,dft_bulk_modulus_pressure_derivative,dft_equilibrium_volume_a3,birch_murnaghan_rms_ev,relaxation_converged
candidate_0000,Ir5Os7,Ir Os,12,14.849055196352937,control,-0.569329827009457,False,P1,1,1.0,False,Cm,8,1.0,False,375.547605320632,349.17249373800047,5.079204891071073,178.19935624996396,0.0005216789605778956,True
candidate_0004,ReIrOs2,Ir Os Re,4,14.556683442273036,control,0.24151701209006252,False,Cmmm,65,0.75,False,Cmmm,65,0.75,False,390.44888326733593,377.7785423506457,4.880492153814046,58.24437877408939,8.78241899023533e-06,True
candidate_0006,Re3Ir2Os11,Ir Os Re,16,14.493729508217012,priority,0.24404412141388646,False,Cm,8,0.75,False,C2/m,12,0.5625,True,411.0616768457807,387.6626618704476,4.8968419807658785,232.04251039045647,6.194685372751364e-05,True
candidate_0009,Ir2Os7,Ir Os,18,15.4244450973408,screened,-0.6378596707391505,True,P1,1,1.0,False,P1,1,1.0,False,381.5342990134223,334.60510343002227,5.28265597874528,277.7962349846521,0.00019203397752392987,True
candidate_0011,Re5Os2,Os Re,14,15.176059444080305,screened,-0.6514096948257566,True,P1,1,1.0,False,P1,1,1.0,False,387.24363800617584,353.7676379343284,4.801144156261096,212.67579550006855,1.12297964790892e-05,True
candidate_0013,ReOs5,Os Re,6,14.449118425113234,priority,-0.5196694573966908,False,Cm,8,1.0,False,Cm,8,1.0,False,404.20840259059185,395.78587347034556,4.89791512929682,86.71917689955198,3.811302017957242e-05,True
candidate_0015,IrOs8,Ir Os,9,14.40818001009036,priority,1.5830192982804112,False,I4/mmm,139,0.3333333333333333,True,I4/mmm,139,0.3333333333333333,True,401.2719932257208,387.85497505609504,4.9707287205579,129.77740469342535,3.652454765071592e-07,True
candidate_0017,Os,Os,4,14.353336916088901,priority,1.8690700158446896,False,P6_3/mmc,194,0.25,True,P6_3/mmc,194,0.25,True,436.6152921537611,400.3845134329008,4.926959162776914,57.43748978389274,2.6362285862716127e-05,True
candidate_0023,Re8B2Os5C3,B C Os Re,18,12.46528233452695,control,-0.14773976048900972,False,P1,1,1.0,False,P1,1,1.0,False,365.052323059289,352.95748395397504,4.875483754937853,224.44852861601012,0.00010932683950276725,True
candidate_0025,Ir2Os,Ir Os,18,14.46574330932722,control,-0.5230669565525191,False,P1,1,1.0,False,P1,1,1.0,False,381.80651775087904,362.6334002272841,5.239818615959068,260.3432777529864,0.0001379223313733432,True
candidate_0034,IrOs3,Ir Os,8,14.379020722767763,priority,1.4556668217011017,False,Pmmn,59,0.375,True,Pmmn,59,0.375,True,415.8020857682442,388.4634787005213,5.0029441751324155,115.0663652662565,1.0692362755128037e-05,True
