parent_task,candidate_id,task,status,volume_a3,static_energy_ev
E4-candidate_0037,candidate_0037,E4-candidate_0037-v2,complete,114.97077230205893,-87.47530081
E4-candidate_0037,candidate_0037,E4-candidate_0037-v3,complete,118.41989547112067,-87.35494402
E4-candidate_0037,candidate_0037,E4-candidate_0037-v4,complete,121.86901864018235,-87.02138989
E4-candidate_0051,candidate_0051,E4-candidate_0051-v0,complete,81.49504937277979,-68.37563673
E4-candidate_0051,candidate_0051,E4-candidate_0051-v1,complete,84.09595520382601,-68.7112009
E4-candidate_0051,candidate_0051,E4-candidate_0051-v2,complete,86.69686103487219,-68.81575122
E4-candidate_0051,candidate_0051,E4-candidate_0051-v3,complete,89.29776686591835,-68.72688088
E4-candidate_0051,candidate_0051,E4-candidate_0051-v4,complete,91.89867269696457,-68.47587288
E4-candidate_0052,candidate_0052,E4-candidate_0052-v0,complete,54.07683839521473,-42.2367045
E4-candidate_0052,candidate_0052,E4-candidate_0052-v1,complete,55.80269493974275,-42.45541768
E4-candidate_0052,candidate_0052,E4-candidate_0052-v2,complete,57.5285514842709,-42.5234317
E4-candidate_0052,candidate_0052,E4-candidate_0052-v3,complete,59.254408028799,-42.46519967
E4-candidate_0052,candidate_0052,E4-candidate_0052-v4,complete,60.980264573327176,-42.30186577
E4-candidate_0063,candidate_0063,E4-candidate_0063-v0,complete,219.60182930080006,-181.24068453
E4-candidate_0063,candidate_0063,E4-candidate_0063-v1,complete,226.6103983210382,-182.11316755
E4-candidate_0063,candidate_0063,E4-candidate_0063-v2,complete,233.6189673412765,-182.38380395
E4-candidate_0063,candidate_0063,E4-candidate_0063-v3,complete,240.6275363615151,-182.15080898
E4-candidate_0063,candidate_0063,E4-candidate_0063-v4,complete,247.63610538175323,-181.49451611
E4-candidate_0065,candidate_0065,E4-candidate_0065-v0,complete,162.28026250897577,-126.86997707
E4-candidate_0065,candidate_0065,E4-candidate_0065-v1,complete,167.4594198230918,-127.52073709
E4-candidate_0065,candidate_0065,E4-candidate_0065-v2,complete,172.63857713720822,-127.71998543
E4-candidate_0065,candidate_0065,E4-candidate_0065-v3,complete,177.8177344513244,-127.54232671
E4-candidate_0065,candidate_0065,E4-candidate_0065-v4,complete,182.99689176544072,-127.05034885
E4-candidate_0066,candidate_0066,E4-candidate_0066-v0,complete,162.70756064421238,-123.59495073
E4-candidate_0066,candidate_0066,E4-candidate_0066-v1,complete,167.90035513285764,-124.23609971
E4-candidate_0066,candidate_0066,E4-candidate_0066-v2,complete,173.09314962150262,-124.43325574
E4-candidate_0066,candidate_0066,E4-candidate_0066-v4,complete,183.47873859879292,-123.77942723
E4-candidate_0073,candidate_0073,E4-candidate_0073-v0,complete,162.83918429886532,-119.55934319
E4-candidate_0073,candidate_0073,E4-candidate_0073-v1,complete,168.0361795424462,-120.19388587
E4-candidate_0073,candidate_0073,E4-candidate_0073-v2,complete,173.23317478602712,-120.38959143
E4-candidate_0073,candidate_0073,E4-candidate_0073-v3,complete,178.43017002960792,-120.21937804
E4-candidate_0073,candidate_0073,E4-candidate_0073-v4,complete,183.62716527318855,-119.74474858
E4-candidate_0074,candidate_0074,E4-candidate_0074-v0,complete,163.48865087921507,-129.55826608
E4-candidate_0074,candidate_0074,E4-candidate_0074-v1,complete,168.7063737796157,-130.20750131
E4-candidate_0074,candidate_0074,E4-candidate_0074-v2,complete,173.9240966800161,-130.40912783
E4-candidate_0074,candidate_0074,E4-candidate_0074-v3,complete,179.14181958041664,-130.23641054
E4-candidate_0074,candidate_0074,E4-candidate_0074-v4,complete,184.35954248081723,-129.75177176
E4-candidate_0077,candidate_0077,E4-candidate_0077-v0,complete,162.77345411869152,-123.66357379
E4-candidate_0077,candidate_0077,E4-candidate_0077-v1,complete,167.9683515905645,-124.29848478
E4-candidate_0077,candidate_0077,E4-candidate_0077-v2,complete,173.16324906243773,-124.49041318
E4-candidate_0077,candidate_0077,E4-candidate_0077-v3,complete,178.35814653431078,-124.31280021
E4-candidate_0077,candidate_0077,E4-candidate_0077-v4,complete,183.55304400618397,-123.82748124
E4-candidate_0084,candidate_0084,E4-candidate_0084-v0,complete,54.81951569290929,-39.15774145
E4-candidate_0084,candidate_0084,E4-candidate_0084-v1,complete,56.56907470438512,-39.36372179
E4-candidate_0084,candidate_0084,E4-candidate_0084-v2,complete,58.31863371586096,-39.42747186
E4-candidate_0084,candidate_0084,E4-candidate_0084-v3,complete,60.0681927273368,-39.3724794
E4-candidate_0084,candidate_0084,E4-candidate_0084-v4,complete,61.81775173881259,-39.21856092
E4-candidate_0086,candidate_0086,E4-candidate_0086-v0,complete,81.19632085687577,-62.22240603
E4-candidate_0086,candidate_0086,E4-candidate_0086-v1,complete,83.78769279911647,-62.54760975
E4-candidate_0086,candidate_0086,E4-candidate_0086-v2,complete,86.37906474135717,-62.64875245
E4-candidate_0086,candidate_0086,E4-candidate_0086-v3,complete,88.97043668359785,-62.56331225
E4-candidate_0086,candidate_0086,E4-candidate_0086-v4,complete,91.56180862583857,-62.32205633
E4-candidate_0096,candidate_0096,E4-candidate_0096-v0,complete,162.7634419809216,-119.57759022
E4-candidate_0096,candidate_0096,E4-candidate_0096-v1,complete,167.95801991648298,-120.21443023
E4-candidate_0096,candidate_0096,E4-candidate_0096-v2,complete,173.1525978520443,-120.41170455
E4-candidate_0096,candidate_0096,E4-candidate_0096-v3,complete,178.34717578760564,-120.24220076
E4-candidate_0096,candidate_0096,E4-candidate_0096-v4,complete,183.54175372316715,-119.7674755
E4-candidate_0097,candidate_0097,E4-candidate_0097-v0,complete,54.73313903264624,-41.270412
E4-candidate_0097,candidate_0097,E4-candidate_0097-v1,complete,56.4799413421988,-41.48216704
E4-candidate_0097,candidate_0097,E4-candidate_0097-v2,complete,58.22674365175135,-41.54838511
E4-candidate_0097,candidate_0097,E4-candidate_0097-v3,complete,59.97354596130389,-41.49286077
E4-candidate_0097,candidate_0097,E4-candidate_0097-v4,complete,61.72034827085642,-41.33553053
E4-candidate_0100,candidate_0100,E4-candidate_0100-v0,complete,54.23893344109699,-39.8020715
E4-candidate_0100,candidate_0100,E4-candidate_0100-v1,complete,55.96996323177028,-40.01514766
E4-candidate_0100,candidate_0100,E4-candidate_0100-v2,complete,57.700993022443576,-40.08162904
E4-candidate_0100,candidate_0100,E4-candidate_0100-v3,complete,59.432022813116895,-40.02580299
E4-candidate_0100,candidate_0100,E4-candidate_0100-v4,complete,61.16305260379017,-39.86813354
E4-candidate_0107,candidate_0107,E4-candidate_0107-v0,complete,143.0293561071222,-118.65096379
E4-candidate_0107,candidate_0107,E4-candidate_0107-v1,complete,147.59412279139192,-119.17034573
E4-candidate_0107,candidate_0107,E4-candidate_0107-v2,complete,152.15888947566185,-119.33690863
E4-candidate_0107,candidate_0107,E4-candidate_0107-v3,complete,156.7236561599315,-119.20714465
E4-candidate_0107,candidate_0107,E4-candidate_0107-v4,complete,161.2884228442013,-118.82859423
E4-candidate_0118,candidate_0118,E4-candidate_0118-v0,complete,54.501223709273,-43.89399833
E4-candidate_0118,candidate_0118,E4-candidate_0118-v1,complete,56.240624465951846,-44.11243398
E4-candidate_0118,candidate_0118,E4-candidate_0118-v2,complete,57.98002522263086,-44.18064772
E4-candidate_0118,candidate_0118,E4-candidate_0118-v3,complete,59.71942597930974,-44.1230747
E4-candidate_0118,candidate_0118,E4-candidate_0118-v4,complete,61.45882673598867,-43.96039363
E4-candidate_0124,candidate_0124,E4-candidate_0124-v0,complete,229.48489857538266,-186.12849178
E4-candidate_0124,candidate_0124,E4-candidate_0124-v1,complete,236.8088847001293,-186.84999244
E4-candidate_0124,candidate_0124,E4-candidate_0124-v2,complete,244.13287082487548,-187.0793266
E4-candidate_0124,candidate_0124,E4-candidate_0124-v3,complete,251.45685694962162,-186.8934134
E4-candidate_0124,candidate_0124,E4-candidate_0124-v4,complete,258.7808430743678,-186.35784789
E4-candidate_0130,candidate_0130,E4-candidate_0130-v0,complete,162.42001641429312,-124.463856
E4-candidate_0130,candidate_0130,E4-candidate_0130-v1,complete,167.60363395943003,-125.10978784
E4-candidate_0130,candidate_0130,E4-candidate_0130-v2,complete,172.78725150456705,-125.30808276
E4-candidate_0130,candidate_0130,E4-candidate_0130-v3,complete,177.97086904970405,-125.132415
E4-candidate_0130,candidate_0130,E4-candidate_0130-v4,complete,183.1544865948413,-124.64497582
E4-candidate_0131,candidate_0131,E4-candidate_0131-v0,complete,81.0278037938851,-64.60240721
E4-candidate_0131,candidate_0131,E4-candidate_0131-v1,complete,83.61379753198784,-64.93508786
E4-candidate_0131,candidate_0131,E4-candidate_0131-v2,complete,86.19979127009057,-65.03891564
E4-candidate_0131,candidate_0131,E4-candidate_0131-v3,complete,88.78578500819326,-64.95201545
E4-candidate_0131,candidate_0131,E4-candidate_0131-v4,complete,91.37177874629589,-64.70578304
E4-candidate_0132,candidate_0132,E4-candidate_0132-v0,complete,138.50486991577506,-119.35899518
E4-candidate_0132,candidate_0132,E4-candidate_0132-v1,complete,142.9252381045765,-119.90458992
E4-candidate_0132,candidate_0132,E4-candidate_0132-v2,complete,147.34560629337776,-120.07341273
E4-candidate_0132,candidate_0132,E4-candidate_0132-v3,complete,151.76597448217905,-119.92536656
E4-candidate_0132,candidate_0132,E4-candidate_0132-v4,complete,156.18634267098054,-119.51047937
E4-candidate_0134,candidate_0134,E4-candidate_0134-v0,complete,216.74527322615396,-170.1477368
E4-candidate_0134,candidate_0134,E4-candidate_0134-v1,complete,223.66267556315873,-171.02407643
E4-candidate_0134,candidate_0134,E4-candidate_0134-v2,complete,230.58007790016373,-171.29677584
E4-candidate_0134,candidate_0134,E4-candidate_0134-v3,complete,237.49748023716856,-171.06499867
E4-candidate_0134,candidate_0134,E4-candidate_0134-v4,complete,244.4148825741735,-170.41157861
E4-candidate_0140,candidate_0140,E4-candidate_0140-v0,complete,163.12796433940176,-119.2651274
E4-candidate_0140,candidate_0140,E4-candidate_0140-v1,complete,168.33417596725505,-119.88877505
E4-candidate_0140,candidate_0140,E4-candidate_0140-v2,complete,173.54038759510826,-120.08223482
E4-candidate_0140,candidate_0140,E4-candidate_0140-v3,complete,178.7465992229614,-119.91960982
E4-candidate_0140,candidate_0140,E4-candidate_0140-v4,complete,183.95281085081447,-119.46360248
E4-candidate_0142,candidate_0142,E4-candidate_0142-v0,complete,214.47843274557636,-169.26889887
E4-candidate_0142,candidate_0142,E4-candidate_0142-v1,complete,221.32348910979667,-170.09201941
E4-candidate_0142,candidate_0142,E4-candidate_0142-v2,complete,228.1685454740172,-170.34281967
E4-candidate_0142,candidate_0142,E4-candidate_0142-v3,complete,235.01360183823795,-170.12187786
E4-candidate_0142,candidate_0142,E4-candidate_0142-v4,complete,241.8586582024584,-169.53692507
E4-candidate_0143,candidate_0143,E4-candidate_0143-v0,complete,108.18389505889307,-84.50369659
E4-candidate_0143,candidate_0143,E4-candidate_0143-v1,complete,111.63657256077259,-84.94169402
E4-candidate_0143,candidate_0143,E4-candidate_0143-v2,complete,115.08925006265221,-85.07913922
E4-candidate_0143,candidate_0143,E4-candidate_0143-v3,complete,118.54192756453175,-84.96484035
E4-candidate_0143,candidate_0143,E4-candidate_0143-v4,complete,121.99460506641131,-84.64064273
E4-candidate_0151,candidate_0151,E4-candidate_0151-v0,complete,109.00878933057699,-92.21311158
E4-candidate_0151,candidate_0151,E4-candidate_0151-v1,complete,112.48779324538258,-92.65707178
E4-candidate_0151,candidate_0151,E4-candidate_0151-v2,complete,115.96679716018822,-92.79394363
E4-candidate_0151,candidate_0151,E4-candidate_0151-v3,complete,119.44580107499392,-92.67315091
E4-candidate_0151,candidate_0151,E4-candidate_0151-v4,complete,122.92480498979948,-92.33632753
E4-candidate_0153,candidate_0153,E4-candidate_0153-v0,complete,226.87730691039215,-188.20551942
E4-candidate_0153,candidate_0153,E4-candidate_0153-v1,complete,234.11807202455316,-189.02732639
E4-candidate_0153,candidate_0153,E4-candidate_0153-v2,complete,241.35883713871473,-189.28281487
E4-candidate_0153,candidate_0153,E4-candidate_0153-v3,complete,248.59960225287622,-189.06218837
E4-candidate_0153,candidate_0153,E4-candidate_0153-v4,complete,255.84036736703757,-188.44401082
E4-candidate_0155,candidate_0155,E4-candidate_0155-v0,complete,162.44705699399915,-124.41070264
