parent_task,candidate_id,formula,role,n_points,refit_b0_gpa,refit_v0_a3,refit_bp,refit_e0_ev,refit_rms_ev,optimizer_nfev,published_b0_gpa,signed_error_gpa,absolute_error_gpa,relative_error,published_v0_a3,published_bp,published_rms_ev,uma_bulk_modulus_gpa,pss
E4-candidate_0034,candidate_0034,IrOs3,priority,5,388.46347868163474,115.06636526320428,5.002944227188816,-85.10752153082139,1.0692362756370316e-05,5,388.4634787005213,-1.8886566977016628e-08,1.8886566977016628e-08,4.861864245307054e-11,115.0663652662565,5.0029441751324155,1.0692362755128037e-05,415.8020857682442,1.4556668217011017
E4-candidate_0037,candidate_0037,IrOs7,priority,5,394.2113611810207,114.96963947013505,4.946576058435606,-87.47516974237493,8.19586010365062e-05,5,394.21136121496784,-3.394711711734999e-08,3.394711711734999e-08,8.611399989265721e-11,114.96963947417865,4.946575989170377,8.195860103621153e-05,427.7870944757225,-0.49218722904662915
E4-candidate_0051,candidate_0051,ReOs5,priority,5,395.572948371455,86.72573379228704,4.898546775206897,-68.81577782873765,9.212858170569262e-06,5,395.5729482579146,1.1354040907463059e-07,1.1354040907463059e-07,2.8702773932003546e-10,86.72573378531933,4.898546934027038,9.212858173743533e-06,410.1097100996811,-0.5128631503878358
E4-candidate_0052,candidate_0052,IrOs3,priority,5,388.387142725161,57.54399178536578,4.99161262260128,-42.5233685966796,4.259673481982138e-05,7,388.38714299548025,-2.703192194530857e-07,2.703192194530857e-07,6.960045519741405e-10,57.54399179113779,4.991612420650281,4.2596734818276224e-05,422.8281626582972,-0.5015528270889535
E4-candidate_0063,candidate_0063,Os7W,priority,5,382.76152584840884,233.67523067468977,4.868027629397213,-182.38399331214248,0.00010827624016203066,5,382.76152582788114,2.0527693322947016e-08,2.0527693322947016e-08,5.3630503427812746e-11,233.67523065660745,4.868027780123327,0.00010827624016720847,425.74624238803904,0.24189641454762004
E4-candidate_0065,candidate_0065,IrOs3,priority,5,387.56692359259307,172.6309645835184,5.029084825298044,-127.71995254545573,2.081489895277832e-05,5,387.5669235625283,3.006476845257566e-08,3.006476845257566e-08,7.757310189481417e-11,172.63096457697327,5.02908489990603,2.0814898951606304e-05,404.3180997845905,-0.5138037868132053
E4-candidate_0066,candidate_0066,IrOs2,control,4,379.27791311668915,173.10655446850137,5.076941964130788,-124.43325696884047,1.5582770503286506e-15,5,379.2779131166935,-4.376943252282217e-12,4.376943252282217e-12,1.1540200736486204e-14,173.10655446850154,5.07694196412901,7.105427357601002e-15,389.21577294234186,-0.5145541864639798
E4-candidate_0073,candidate_0073,IrOs,priority,5,374.4938401940518,173.2564362413875,5.087093568272183,-120.38952541812955,4.355666891724307e-05,6,374.4938402262967,-3.224488409614423e-08,3.224488409614423e-08,8.610257534986291e-11,173.25643624512034,5.087093525530613,4.355666891721721e-05,405.5022729508629,-0.5162213509368104
E4-candidate_0074,candidate_0074,Re2Ir3Os7,priority,5,381.2146114068005,173.96943168573347,5.009357516266528,-130.4090222419951,7.481121037508205e-05,6,381.21461111609017,2.907103180405102e-07,2.907103180405102e-07,7.625896530812168e-10,173.9694316519246,5.009357901319939,7.48112103823345e-05,418.66357005734534,-0.5274995498279699
E4-candidate_0077,candidate_0077,IrOs2,priority,5,379.29194770545575,173.10648463504768,5.062539380976235,-124.4903777415058,3.592488125600594e-05,5,379.29194769877637,6.679385933239246e-09,6.679385933239246e-09,1.761014430642181e-11,173.10648463641857,5.062539365644882,3.592488125411793e-05,428.3451280458812,-0.47185190322008985
E4-candidate_0084,candidate_0084,ReIr3,control,5,360.88772946626386,58.330437254961176,5.043465358658867,-39.42745314257614,1.338570808118575e-05,7,360.8877295926217,-1.263578610632976e-07,1.263578610632976e-07,3.5013066586091255e-10,58.330437257786414,5.043465261010812,1.3385708081433056e-05,392.546604181445,-0.5413649220372589
E4-candidate_0086,candidate_0086,IrOs2,priority,5,383.0933490657904,86.40974757169528,5.055378597845856,-62.648810171844076,2.7940581885996232e-05,5,383.0933490434879,2.2302515390038025e-08,2.2302515390038025e-08,5.821692139976644e-11,86.40974757281711,5.055378573596104,2.7940581884509953e-05,406.9253747551237,1.0497103598891369
E4-candidate_0096,candidate_0096,IrOs,priority,5,375.3298586567204,173.19210523706727,5.070599901670054,-120.41163214491608,5.187447596054208e-05,6,375.3298587317254,-7.50050048736739e-08,7.50050048736739e-08,1.9983756455487663e-10,173.19210524484447,5.07059981175445,5.187447596066179e-05,414.2303794856437,1.0608731717613482
E4-candidate_0097,candidate_0097,ReIr2Os,priority,5,370.3766447995005,58.25165513764706,4.952276321022541,-41.5483920804298,3.3475158763312925e-06,5,370.37664480143917,-1.9386448002478573e-09,1.9386448002478573e-09,5.2342522873902454e-12,58.25165513692226,4.952276345023658,3.347515876770409e-06,405.1924089145057,-0.5167626153930894
E4-candidate_0100,candidate_0100,IrOs,priority,5,375.33421439823985,57.72412624054763,5.064266362873769,-40.081619548256405,1.2729842923485458e-05,8,375.3342143653754,3.286447736172704e-08,3.286447736172704e-08,8.756056896463631e-11,57.72412624001932,5.064266380918454,1.2729842923406841e-05,419.1974916358665,1.0601488206969725
E4-candidate_0107,candidate_0107,Re2Os2W,screened,5,344.0656534906325,152.31059179580586,4.821557167646347,-119.33705116989748,1.2513212924998666e-05,5,344.06565346566225,2.4970233880594606e-08,2.4970233880594606e-08,7.257403820775919e-11,152.31059179400404,4.82155719126956,1.2513212927469105e-05,385.7138942317908,-0.637999446436994
E4-candidate_0118,candidate_0118,ReIrOs2,priority,5,384.209671674718,58.00210299636766,4.94517335640353,-44.18063344086366,1.5232896005917466e-05,5,384.2096716056019,6.911608352311305e-08,6.911608352311305e-08,1.79891576477705e-10,58.00210299243713,4.945173489788509,1.5232896005786734e-05,403.0414378248935,-0.5298729364948571
E4-candidate_0124,candidate_0124,Re7W8,screened,5,300.8074771267726,244.30878213114022,4.692507809122747,-187.0793547876688,5.6822090502472676e-05,5,300.8074770385177,8.825492159303394e-08,8.825492159303394e-08,2.933933772588143e-10,244.30878212142724,4.692507889046631,5.68220905037459e-05,280.5757022937872,-0.9562061697510111
E4-candidate_0130,candidate_0130,IrOs2,priority,5,383.9955121172632,172.78834232984053,5.019603512168404,-125.3080152169703,4.223642547820162e-05,5,383.99551211018616,7.077062491589459e-09,7.077062491589459e-09,1.843006563461794e-11,172.78834232824948,5.019603530243011,4.2236425483107155e-05,421.00146870423043,1.847356514824367
E4-candidate_0131,candidate_0131,IrOs5,priority,5,392.2280178651384,86.23665799587472,5.035698996207364,-65.03897245899773,2.3453419784977047e-05,7,392.2280178364722,2.8666192974924343e-08,2.8666192974924343e-08,7.308553104657571e-11,86.236657992534,5.035699072271622,2.345341978547778e-05,419.21721699445567,1.067613426050083
